ITTER107,Region,Age,Males_value,Females_value,Population_value
ITD4,Friuli-Venezia Giulia,37,6966,6562,13528
ITD4,Friuli-Venezia Giulia,38,7156,6803,13959
ITD4,Friuli-Venezia Giulia,39,7429,6977,14406
ITD4,Friuli-Venezia Giulia,40,8051,7606,15657
ITD4,Friuli-Venezia Giulia,41,8090,7803,15893
ITD4,Friuli-Venezia Giulia,42,8436,8429,16865
ITD4,Friuli-Venezia Giulia,43,9024,8839,17863
ITD4,Friuli-Venezia Giulia,44,9746,9563,19309
ITD4,Friuli-Venezia Giulia,45,9525,9598,19123
ITD4,Friuli-Venezia Giulia,46,9889,9834,19723
ITD4,Friuli-Venezia Giulia,47,9891,9907,19798
ITD4,Friuli-Venezia Giulia,48,9872,10089,19961
ITD4,Friuli-Venezia Giulia,49,10139,9980,20119
